EmployeeID,Name,Age,Department,Salary,Experience
1,Employee 1,21,Sales,36200,1
2,Employee 2,22,Marketing,37400,2
3,Employee 3,23,Finance,38600,3
4,Employee 4,24,HR,39800,4
5,Employee 5,25,Engineering,41000,5
6,Employee 6,26,Sales,42200,6
7,Employee 7,27,Marketing,43400,7
8,Employee 8,28,Finance,44600,8
9,Employee 9,29,HR,45800,9
10,Employee 10,30,Engineering,47000,10
11,Employee 11,31,Sales,48200,11
12,Employee 12,32,Marketing,49400,12
13,Employee 13,33,Finance,50600,13
14,Employee 14,34,HR,51800,14
15,Employee 15,35,Engineering,53000,0
16,Employee 16,36,Sales,54200,1
17,Employee 17,37,Marketing,55400,2
18,Employee 18,38,Finance,56600,3
19,Employee 19,39,HR,57800,4
20,Employee 20,40,Engineering,59000,5
21,Employee 21,41,Sales,60200,6
22,Employee 22,42,Marketing,61400,7
23,Employee 23,43,Finance,62600,8
24,Employee 24,44,HR,63800,9
25,Employee 25,20,Engineering,65000,10
26,Employee 26,21,Sales,66200,11
27,Employee 27,22,Marketing,67400,12
28,Employee 28,23,Finance,68600,13
29,Employee 29,24,HR,69800,14
30,Employee 30,25,Engineering,71000,0
31,Employee 31,26,Sales,72200,1
32,Employee 32,27,Marketing,73400,2
33,Employee 33,28,Finance,74600,3
34,Employee 34,29,HR,75800,4
35,Employee 35,30,Engineering,77000,5
36,Employee 36,31,Sales,78200,6
37,Employee 37,32,Marketing,79400,7
38,Employee 38,33,Finance,80600,8
39,Employee 39,34,HR,81800,9
40,Employee 40,35,Engineering,83000,10
41,Employee 41,36,Sales,84200,11
42,Employee 42,37,Marketing,85400,12
43,Employee 43,38,Finance,86600,13
44,Employee 44,39,HR,87800,14
45,Employee 45,40,Engineering,89000,0
46,Employee 46,41,Sales,90200,1
47,Employee 47,42,Marketing,91400,2
48,Employee 48,43,Finance,92600,3
49,Employee 49,44,HR,93800,4
50,Employee 50,20,Engineering,95000,5
51,Employee 51,21,Sales,96200,6
52,Employee 52,22,Marketing,97400,7
53,Employee 53,23,Finance,98600,8
54,Employee 54,24,HR,99800,9
55,Employee 55,25,Engineering,101000,10
56,Employee 56,26,Sales,102200,11
57,Employee 57,27,Marketing,103400,12
58,Employee 58,28,Finance,104600,13
59,Employee 59,29,HR,105800,14
60,Employee 60,30,Engineering,107000,0
